Titre court,Titre complet,Numéro de l'amendement,Partie de l'amendement,Sort de l'amendement,Désignation de l'article,Délibération,Auteur,Cosignataire(s),Instance,Etape du texte,URL Dossier législatif,URL Texte référence,URL Amendement,URL Amendement format XML,uid,chronotag,legislature,examenRef,texteLegislatifRef,triAmendement,cardinaliteAmdtMultiples,article99,accordGouvernementDepotHorsDelai,identification.numeroLong,identification.numeroOrdreDepot,identification.prefixeOrganeExamen,identification.numeroRect,signataires.auteur.typeAuteur,signataires.auteur.acteurRef,signataires.auteur.groupePolitiqueRef,signataires.cosignataires.acteurRef,signataires.libelle,pointeurFragmentTexte.division.titre,pointeurFragmentTexte.division.articleDesignationCourte,pointeurFragmentTexte.division.articleDesignation,pointeurFragmentTexte.division.type,pointeurFragmentTexte.division.avant_A_Apres,pointeurFragmentTexte.division.divisionRattachee,pointeurFragmentTexte.division.articleAdditionnel,pointeurFragmentTexte.division.chapitreAdditionnel,pointeurFragmentTexte.division.urlDivisionTexteVise,pointeurFragmentTexte.missionVisee.codeEtat,pointeurFragmentTexte.missionVisee.codeMissionMinefi,pointeurFragmentTexte.missionVisee.libelleMission,pointeurFragmentTexte.missionVisee.missionRef,corps.contenuAuteur.dispositifAmdtCreditPLF.listeProgrammes.programme,corps.contenuAuteur.dispositifAmdtCreditPLF.soldeAE,corps.contenuAuteur.dispositifAmdtCreditPLF.soldeCP,corps.contenuAuteur.dispositifAmdtCreditPLF.cpEgalAe,corps.contenuAuteur.exposeSommaire,cycleDeVie.dateDepot,cycleDeVie.datePublication,cycleDeVie.soumisArticle40,cycleDeVie.etatDesTraitements.etat.code,cycleDeVie.etatDesTraitements.etat.libelle,cycleDeVie.etatDesTraitements.sousEtat.code,cycleDeVie.etatDesTraitements.sousEtat.libelle,cycleDeVie.dateSort,cycleDeVie.sort,representations.representation.nom,representations.representation.typeMime.type,representations.representation.typeMime.subType,representations.representation.statutRepresentation.verbatim,representations.representation.statutRepresentation.canonique,representations.representation.statutRepresentation.officielle,representations.representation.statutRepresentation.transcription,representations.representation.statutRepresentation.enregistrement,representations.representation.contenu.documentURI,loiReference.codeLoi,loiReference.divisionCodeLoi,seanceDiscussionRef,pointeurFragmentTexte.amendementStandard.alinea.numero,pointeurFragmentTexte.amendementStandard.alinea.alineaDesignation,corps.contenuAuteur.dispositif,discussionCommune.idDiscussion,discussionCommune.typePosition,discussionIdentique.idDiscussion,discussionIdentique.typePosition
PLF POUR 2025,Amendement n° 63 - PLF POUR 2025 - 1ère lecture (1ère assemblée saisie) - n° 324,II-CD63,II,Rejeté,Article 42,Première délibération,Blairy Emmanuel,"  M. Barthès, Mme Bouquin, M. Dutremble, M. Guibert, M. Houssin, M. Humbert, Mme Lechanteux, M. David Magnier, M. Marchio, M. Markowsky, M. Meurin, Mme Sabatini et M. Vos",Développement durable,1ère lecture (1ère assemblée saisie),https://www.assemblee-nationale.fr/dyn/17/dossiers/PLF2025,https://www.assemblee-nationale.fr/17/textes/0324C.asp#D_Etat_B,https://www.assemblee-nationale.fr/dyn/17/amendements/0324C/CION-DVP/CD63,https://www.assemblee-nationale.fr/dyn/opendata/AMANR5L17PO419865B0324P2D1N000063.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PLF POUR 2025,Amendement n° 1515 - PLF POUR 2025 - 1ère lecture (1ère assemblée saisie) - n° 324,I-1515,I,Rejeté,Article 29,Première délibération,Louwagie Véronique,"  Mme Dalloz, M. Nury, Mme Bazin-Malgras, Mme Sylvie Bonnet, Mme Corneloup, M. Jean-Pierre Vigier, Mme Frédérique Meunier et Mme Bonnivard",Séance publique,1ère lecture (1ère assemblée saisie),https://www.assemblee-nationale.fr/dyn/17/dossiers/PLF2025,https://www.assemblee-nationale.fr/17/textes/0324A.asp#D_Article_29,https://www.assemblee-nationale.fr/dyn/17/amendements/0324A/AN/1515,https://www.assemblee-nationale.fr/dyn/opendata/AMANR5L17PO838901B0324P1D1N001515.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PLF POUR 2025,Amendement n° 1262 - PLF POUR 2025 - 1ère lecture (1ère assemblée saisie) - n° 324,II-CF1262,II,Rejeté,Article 42,Première délibération,Rodwell Charles,  M. Riester et M. Daubié,Finances,1ère lecture (1ère assemblée saisie),https://www.assemblee-nationale.fr/dyn/17/dossiers/PLF2025,https://www.assemblee-nationale.fr/17/textes/0324C.asp#D_Etat_B,https://www.assemblee-nationale.fr/dyn/17/amendements/0324C/CION_FIN/CF1262,https://www.assemblee-nationale.fr/dyn/opendata/AMANR5L17PO59048B0324P2D1N001262.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,AMANR5L17PO419865B0324P2D1N000063,1731668517477,17,EXANR5L17PO419865B0324P2D1,PRJLANR5L17B0324,abeaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaahv,1,false,Sans objet,II-CD63,63,CION-DVP,0,Député,PA720668,PO845401,"['PA793238', 'PA841131', 'PA841761', 'PA841451', 'PA793632', 'PA842085', 'PA796026', 'PA841587', 'PA794530', 'PA840837', 'PA793852', 'PA794894', 'PA841575']"," M.&#160;Blairy,  M.&#160;Barth&#232;s, Mme&#160;Bouquin, M.&#160;Dutremble, M.&#160;Guibert, M.&#160;Houssin, M.&#160;Humbert, Mme&#160;Lechanteux, M.&#160;David&#160;Magnier, M.&#160;Marchio, M.&#160;Markowsky, M.&#160;Meurin, Mme&#160;Sabatini et M.&#160;Vos",ÉTAT B,ART. 42,ARTICLE 42,ANNEXE,A,ARTICLE 42,false,false,/17/textes/0324C.asp#D_Etat_B,B,TA,"Écologie, développement et mobilité durables",2862,"[{'libelle': 'Infrastructures et services de transports', 'programmeRef': '401538', 'autorisationEngagement': '20000000', 'creditPaiement': '20000000', 'action': 'modification', 'lignesCredits': {}}, {'libelle': 'Affaires maritimes, pêche et aquaculture', 'programmeRef': '401540', 'autorisationEngagement': '0', 'creditPaiement': '0', 'action': 'modification', 'lignesCredits': {}}, {'libelle': 'Paysages, eau et biodiversité', 'programmeRef': '401542', 'autorisationEngagement': '0', 'creditPaiement': '0', 'action': 'modification', 'lignesCredits': {}}, {'libelle': 'Expertise, information géographique et météorologie', 'programmeRef': '401544', 'autorisationEngagement': '0', 'creditPaiement': '0', 'action': 'modification', 'lignesCredits': {}}, {'libelle': 'Prévention des risques', 'programmeRef': '401546', 'autorisationEngagement': '0', 'creditPaiement': '0', 'action': 'modification', 'lignesCredits': {}}, {'libelle': 'Énergie, climat et après-mines', 'programmeRef': '401548', 'autorisationEngagement': '0', 'creditPaiement': '0', 'action': 'modification', 'lignesCredits': {}}, {'libelle': ""Service public de l'énergie"", 'programmeRef': '401550', 'autorisationEngagement': '0', 'creditPaiement': '0', 'action': 'modification', 'lignesCredits': {}}, {'libelle': ""Conduite et pilotage des politiques de l'écologie, du développement et de la mobilité durables"", 'programmeRef': '401552', 'autorisationEngagement': '-20000000', 'creditPaiement': '-20000000', 'action': 'modification', 'lignesCredits': {}}, {'libelle': ""Fonds d'accélération de la transition écologique dans les territoires"", 'programmeRef': '401554', 'autorisationEngagement': '0', 'creditPaiement': '0', 'action': 'modification', 'lignesCredits': {}}, {'libelle': 'Sûreté nucléaire et radioprotection', 'programmeRef': '401556', 'autorisationEngagement': '0', 'creditPaiement': '0', 'action': 'modification', 'lignesCredits': {}}]",0,0,true,"<p>Transf&#x00E9;rer 20 000 000 en AE et en CP&nbsp;:<br>&nbsp;<br>- du programme 217 conduite et pilotage des politiques de l&#x2019;&#x00E9;cologie, du d&#x00E9;veloppement et de la mobilit&#x00E9; durables, action 07. Pilotage, support, audit, &#x00E9;valuations<br>&nbsp;<br>- vers le programme 203 infrastructures et services de transports, sous-action 04-01 r&#x00E9;g&#x00E9;n&#x00E9;ration du r&#x00E9;seau routier national</p><p>&nbsp;</p><p>Nous proposons de contenir le budget du programme 217, action 07 au niveau du budget 2024, en particulier en ma&#x00EE;trisant les d&#x00E9;penses li&#x00E9;es au sch&#x00E9;ma pluriannuel de strat&#x00E9;gie immobili&#x00E8;re (SPSI) de l&#x2019;administration centrale. Sans nier la n&#x00E9;cessit&#x00E9; d&#x2019;optimiser la strat&#x00E9;gie immobili&#x00E8;re, un effort sur les d&#x00E9;penses de fonctionnement du minist&#x00E8;re est attendu, qui peut prendre la forme d&#x2019;un report dans le temps.<br>&nbsp;<br>Ce budget sera transf&#x00E9;r&#x00E9; sur le programme 203 infrastructures et services de transports, action 04-01 r&#x00E9;g&#x00E9;n&#x00E9;ration du r&#x00E9;seau routier national.<br>&nbsp;<br>En effet, le r&#x00E9;seau routier national est mis &#x00E0; rude &#x00E9;preuve par son usage intensif et par le d&#x00E9;r&#x00E8;glement climatique. Par ailleurs, la promotion et d&#x00E9;veloppement de nouvelles formes de mobilit&#x00E9;s n&#x00E9;cessitent de revisiter les infrastructures (enrob&#x00E9;s, &#x00E9;quipements, signalisation). D&#x00E8;s lors, il convient d&#x2019;amplifier l&#x2019;effort d&#x2019;entretien, de r&#x00E9;paration et de renouvellement. Il convient &#x00E9;galement d&#x2019;identifier et de s&#x00E9;curiser les zones &#x00E0; risque pour &#x00E9;viter les drames routiers et leur co&#x00FB;t en vies humaines.<br>Le r&#x00E9;seau routier est un &#x00E9;quipement du quotidien indispensable &#x00E0; la vie des citoyens et au d&#x00E9;veloppement &#x00E9;conomique des territoires. L&#x2019;Etat est garant de son fonctionnement et de sa fiabilit&#x00E9;.</p>",2024-10-18,2024-10-22,false,DI,Discuté,DI,Rejeté,2024-10-22T22:35:05+02:00,Rejeté,PDF,application,PDF,true,true,true,false,false,/base/AMANR5L17PO419865B0324P2D1N000063?format=pdf,203,203,,,,,,,,
,,,,,,,,,,,,,,,AMANR5L17PO838901B0324P1D1N001515,1731091386955,17,EXANR5L17PO838901B0324P1D1,PRJLANR5L17B0324,jiaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaapoe,1,false,Sans objet,I-1515,1515,AN,0,Député,PA608016,PO845425,"['PA332523', 'PA720644', 'PA718884', 'PA719968', 'PA722390', 'PA607090', 'PA719272', 'PA721410']"," Mme&#160;Louwagie,  Mme&#160;Dalloz, M.&#160;Nury, Mme&#160;Bazin-Malgras, Mme&#160;Sylvie&#160;Bonnet, Mme&#160;Corneloup, M.&#160;Jean-Pierre&#160;Vigier, Mme&#160;Fr&#233;d&#233;rique&#160;Meunier et Mme&#160;Bonnivard",Article 29,ART. 29,ARTICLE 29,ARTICLE,A,,false,false,/17/textes/0324A.asp#D_Article_29,,,,,,,,,"<p>Amendement de repli.<br>&nbsp;<br>En 2024, la dotation de compensation de la r&#x00E9;forme de la taxe professionnelle (DCRTP) des R&#x00E9;gions repr&#x00E9;sente 467 M&#x20AC; et constitue une ressource &#x00E0; part enti&#x00E8;re de leur budget. Entre 2017 et 2022, la DCRTP des R&#x00E9;gions a enregistr&#x00E9; une baisse de 207 M&#x20AC; pour financer des mesures qui ne les concernent pas.</p><p>Pour 2025, le Gouvernement propose d&#x2019;appliquer une nouvelle minoration de leur DCRTP de - 189 M&#x20AC;, soit une baisse de - 40 %. Cette baisse est d&#x2019;autant plus injuste qu&#x2019;elle concerne une dotation s&#x2019;&#x00E9;tant substitu&#x00E9;e &#x00E0; des recettes dynamiques.</p><p>Apr&#x00E8;s avoir &#x00E9;t&#x00E9; la seule cat&#x00E9;gorie de collectivit&#x00E9;s &#x00E0; ne pas avoir retrouv&#x00E9; en 2021 et 2022 le niveau d&#x2019;&#x00E9;pargne brute constat&#x00E9; en 2019, la Cour des comptes a constat&#x00E9; &#x00AB;&nbsp;une situation financi&#x00E8;re en repli&nbsp;&#x00BB; pour les R&#x00E9;gions &#x00AB;&nbsp;qui s&#x2019;est d&#x00E9;grad&#x00E9;e en 2023 sous l&#x2019;effet du ralentissement des produits et d&#x2019;une acc&#x00E9;l&#x00E9;ration des charges de fonctionnement&nbsp;&#x00BB;. Les R&#x00E9;gions ont ainsi vu leur &#x00E9;pargne brute baisser de - 5,9 % en 2023, soit une diminution de - 400 M&#x20AC;, et leur capacit&#x00E9; de d&#x00E9;sendettement atteindre 6,1 ans, soit un niveau plus d&#x00E9;grad&#x00E9; que celui constat&#x00E9; lors de la crise sanitaire.</p><p>Concernant l&#x2019;ann&#x00E9;e 2024, la derni&#x00E8;re note de conjoncture de La Banque postale estime que l&#x2019;&#x00E9;pargne brute des R&#x00E9;gions pourrait de nouveau diminuer &#x00E0; hauteur de - 5,1 %, soit une baisse - 300 M&#x20AC;.</p><p>L&#x2019;effort au titre des variables d&#x2019;ajustement pr&#x00E9;vu par le PLF 2025 porte &#x00E0; 38 % sur la baisse de la DCRTP des R&#x00E9;gions, soit un effort disproportionn&#x00E9; au regard leur situation financi&#x00E8;re.<br>&nbsp;<br>Afin de pr&#x00E9;server les ressources d&#x00E9;di&#x00E9;es &#x00E0; la formation professionnelle, au fonctionnement des lyc&#x00E9;es, aux aides aux entreprises et la capacit&#x00E9; d&#x2019;investissement des R&#x00E9;gions dans un contexte de fort ralentissement de leurs recettes, le pr&#x00E9;sent amendement vise &#x00E0; r&#x00E9;duire de moiti&#x00E9; la baisse de la DCRTP pr&#x00E9;vue pour 2025.<br>&nbsp;<br>&nbsp;</p><p><br>&nbsp;</p>",2024-10-18,2024-10-25,true,DI,Discuté,DI,Rejeté,2024-11-08T19:42:17+01:00,Rejeté,PDF,application,PDF,true,true,true,false,false,/base/AMANR5L17PO838901B0324P1D1N001515?format=pdf,,,RUANR5L17S2025IDS28633,11,Alinéa 11,"<p style=""text-align: justify;"">I. &#x2013; &#x00C0; la fin de l&#x2019;alin&#x00E9;a&nbsp;11, substituer au montant&nbsp;:&nbsp;</p><p style=""text-align: justify;"">&#x00AB;&nbsp;278 463 770&nbsp;&#x20AC;&nbsp;&#x00BB;</p><p style=""text-align: justify;"">le montant&nbsp;:&nbsp;</p><p style=""text-align: justify;"">&#x00AB;&nbsp;373 129 770&nbsp;&#x20AC;&nbsp;&#x00BB;.</p><p style=""text-align: justify;"">II.&nbsp;&#x2013;&nbsp;Compl&#x00E9;ter cet article par l&#x2019;alin&#x00E9;a suivant&nbsp;:</p><p style=""text-align: justify;"">&#x00AB;&nbsp;IV.&nbsp;&#x2013;&nbsp;La perte de recettes pour l&#x2019;&#x00C9;tat est compens&#x00E9;e &#x00E0; due concurrence par la cr&#x00E9;ation d&#x2019;une taxe additionnelle &#x00E0; l&#x2019;accise sur les tabacs pr&#x00E9;vue au chapitre&nbsp;IV du titre&nbsp;I<sup>er</sup> du livre&nbsp;III du code des impositions sur les biens et services.&nbsp;&#x00BB;</p>",26730,Milieu,72956,Premier
,,,,,,,,,,,,,,,AMANR5L17PO59048B0324P2D1N001262,1731668535003,17,EXANR5L17PO59048B0324P2D1,PRJLANR5L17B0324,bcoaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaarb,1,false,Sans objet,II-CF1262,1262,CION_FIN,0,Député,PA795528,PO845407,"['PA335758', 'PA793122']"," M.&#160;Rodwell,  M.&#160;Riester et M.&#160;Daubi&#233;",ÉTAT B,ART. 42,ARTICLE 42,ANNEXE,A,ARTICLE 42,false,false,/17/textes/0324C.asp#D_Etat_B,B,JA,Justice,2876,"[{'libelle': 'Justice judiciaire', 'programmeRef': '410110', 'autorisationEngagement': '0', 'creditPaiement': '0', 'action': 'modification', 'lignesCredits': {}}, {'libelle': 'Administration pénitentiaire', 'programmeRef': '410112', 'autorisationEngagement': '0', 'creditPaiement': '0', 'action': 'modification', 'lignesCredits': {}}, {'libelle': 'Protection judiciaire de la jeunesse', 'programmeRef': '410114', 'autorisationEngagement': '0', 'creditPaiement': '0', 'action': 'modification', 'lignesCredits': {}}, {'libelle': 'Accès au droit et à la justice', 'programmeRef': '410116', 'autorisationEngagement': '-50000000', 'creditPaiement': '-50000000', 'action': 'modification', 'lignesCredits': {}}, {'libelle': 'Conduite et pilotage de la politique de la justice', 'programmeRef': '410118', 'autorisationEngagement': '0', 'creditPaiement': '0', 'action': 'modification', 'lignesCredits': {}}, {'libelle': 'Conseil supérieur de la magistrature', 'programmeRef': '410120', 'autorisationEngagement': '0', 'creditPaiement': '0', 'action': 'modification', 'lignesCredits': {}}]",-50000000,-50000000,true,"<p>Cet amendement propose de&nbsp;r&#x00E9;duire les cr&#x00E9;dits allou&#x00E9;s &#x00E0; l'aide juridictionnelle (AJ) tout en alertant le gouvernement sur la hausse continue et exponentielle de ce poste budg&#x00E9;taire.&nbsp;</p><p>Comme le rappelle la Cour des comptes dans son rapport de juillet 2023, le budget consacr&#x00E9; &#x00E0; l&#x2019;AJ a doubl&#x00E9; en dix ans, passant de 342 millions d&#x2019;euros en 2017 &#x00E0; 630 millions en 2022 (+ 13 % par an), en raison notamment de l&#x2019;augmentation du nombre de proc&#x00E9;dures y ouvrant droit et des bar&#x00E8;mes permettant son versement.&nbsp;Le budget allou&#x00E9; &#x00E0; l'AJ dans le PLF 2025 est en l&#x00E9;g&#x00E8;re croissance, &#x00E0; &nbsp;660 951 691 euros en AE et CP (+0,37%).&nbsp;</p><p>Dans ce contexte, cet amendement vise &#x00E0; inciter le gouvernement &#x00E0; mettre en oeuvre les diff&#x00E9;rentes recommandations de la Cour des comptes dans le rapport pr&#x00E9;cit&#x00E9;, pour r&#x00E9;duire le cout global de l'aide juridictionnelle, et &#x00E0; intensifier la lutte contre les abus et les fraudes en la mati&#x00E8;re.&nbsp;</p><p>Dans ce cadre, une attention particuli&#x00E8;re doit &#x00EA;tre port&#x00E9;e &#x00E0; l'aide juridictionnelle vers&#x00E9;e aux personnes &#x00E9;trang&#x00E8;res. Ces d&#x00E9;penses n'ont cess&#x00E9; d'augmenter durant ces derni&#x00E8;res ann&#x00E9;es, dans un contexte de massification du contentieux du droit des &#x00E9;trangers.&nbsp;Selon le document de politique transversale (DPT) relatif &#x00E0; la ""Politique fran&#x00E7;aise de l'immigration et de l'int&#x00E9;gration"", les d&#x00E9;penses li&#x00E9;es &#x00E0; l'AJ des &#x00E9;trangers ont ainsi atteint 55,5 millions d'euros en 2023 et devraient atteindre 62,6 millions d'euros en 2025. Il convient par ailleurs de tirer toutes les cons&#x00E9;quences de la &nbsp;d&#x00E9;cision du Conseil constitutionnel du 28 mai 2024, conduisant &#x00E0; accorder&nbsp;l'aide juridictionnelle aux &#x00E9;trangers en situation irr&#x00E9;guli&#x00E8;re, qui se traduira in&#x00E9;vitablement par une augmentation du nombre de proc&#x00E9;dures contentieuses en mati&#x00E8;re de droit des &#x00E9;trangers et par une hausse &nbsp;des d&#x00E9;penses d'aide juridictionnelle dans les ann&#x00E9;es &#x00E0; venir. Dans ce contexte, il est imp&#x00E9;ratif de r&#x00E9;former l'aide juridictionnelle, notamment pour mieux encadrer les &nbsp;bar&#x00E8;mes de l'AJ dans le cadre des contentieux de masse tels que le contentieux du droit des &#x00E9;trangers.&nbsp;</p><p>Pour traduire ces pistes d'&#x00E9;conomies budg&#x00E9;taires, cet amendement r&#x00E9;duit de 50 000 000 euros l'action&nbsp;01 ""Aide juridictionnelle"" du programme 101 ""Acc&#x00E8;s au droit et &#x00E0; la justice"" de la mission Justice.&nbsp;</p>",2024-10-24,2024-10-31,false,DI,Discuté,DI,Rejeté,2024-10-31T10:51:53+01:00,Rejeté,PDF,application,PDF,true,true,true,false,false,/base/AMANR5L17PO59048B0324P2D1N001262?format=pdf,4,,,,,,27186,Premier,,
